Case ID,Site ID,Site Name,Url,Submission Date,Case Status,Comments,Username (last person),Site Type,Site Status,Implementing Partner / Donor Agency,Region ID,Region Name,Submission date,Submission date (reformatted),Agency,Donor,Activity date,Activity date (reformatted),Primary Activity,Sub-Activity,boys,girls,men,women,elderly men,elderly women,total participants,PWds,males,females,Indirect beneficiaries,Achieved,IB boys,IB girls,IB men,IB women,IB elderly men,IB elderly women,total indirect beneficiaries,Protection referral pathway (y/n) (based on safety audit),Topic,Topic(s),Other topic,Topic (calculated),Items distributed,Other items,number of leaflets,number of posters,number of hygiene kits,number of dignity kits,number of fire extinguishers,number of first aid kits,number of sand or flour bags,number of toolkits,number of other items,total number of IEC items,Summary,Photo,Photo2,Photo3,Attachment
40151782810350492R,KYS1711,Al-Nakheel and Al-Zaitoon site,https://app.zitemanager.org/#/sites/31748/submission-case-detail/40151782810350492R,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,1,1,0,0,2,0,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40151782810407824L,KYS0100,Wijdan  community,https://app.zitemanager.org/#/sites/31321/submission-case-detail/40151782810407824L,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,1,1,0,0,2,0,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40161782804946210J,GZA5287,Mukhayam Alshabab Walriyda,https://app.zitemanager.org/#/sites/51106/submission-case-detail/40161782804946210J,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600123,Gaza - An Naser-Gaza,2026-06-30,30/06/26,ACTED,PRM,2026-06-18,18-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"The site currently hosts 110 households (408 individuals) in mixed shelter typologies, including public buildings, open areas, and tents, and is facing critical multi-sectoral challenges affecting WASH, shelter, environmental health, safety, and protection. The assessment identified the absence of essential WASH infrastructure, including municipal water supply, internal water distribution, and safe sewage systems, alongside inadequate sanitation facilities, poor waste management, and ineffective drainage, resulting in significant public health risks. Shelter conditions are characterized by severe overcrowding, damaged and inadequate shelter materials, limited privacy, and unsafe living conditions. Environmental concerns include widespread debris and waste accumulation, pest infestation, blocked pathways, and poor hygiene conditions. In addition, significant safety and protection risks were observed, including insufficient lighting, unsafe roof access, open sewage pits, fire hazards, lack of fire safety measures, and the absence of controlled site boundaries, increasing the vulnerability of site residents. While no GBV or UXO incidents were reported at the time of the assessment, the findings highlight the urgent need for coordinated multi-sectoral interventions to improve living conditions, reduce protection risks, and ensure the safety, health, and dignity of the affected population.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Mukhayam_Alshabab_Walriyda-10_35_32.xlsx&return_type=file
40161782805569545X,GZA5475,Al-Nasr School Shelter,https://app.zitemanager.org/#/sites/54563/submission-case-detail/40161782805569545X,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600123,Gaza - An Naser-Gaza,2026-06-30,30/06/26,ACTED,PRM,2026-06-15,15-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"The site currently hosts 110 displaced households (408 individuals) accommodated within school buildings under challenging humanitarian conditions. The assessment identified critical multi-sectoral gaps affecting WASH, shelter, environmental health, site infrastructure, safety, and protection. Key issues include the absence of a reliable municipal water supply and adequate water storage and distribution systems, insufficient and inadequately equipped sanitation facilities, poor wastewater and drainage systems, accumulation of rubble and solid waste, environmental degradation, damaged infrastructure, overcrowded shelter conditions, inadequate privacy, and limited community facilities and operational infrastructure. These conditions significantly increase public health risks, environmental hazards, protection concerns, and safety threats, particularly for women, children, older persons, and persons with disabilities, while reducing the overall dignity and well-being of site residents. To address these challenges, the proposed Site Improvement Plan adopts an integrated, multi-sectoral approach focusing on improving water supply and sanitation services, rehabilitating shelter and communal infrastructure, strengthening drainage and wastewater management, removing debris and improving environmental conditions, enhancing site safety and protection measures, upgrading community facilities, and reinforcing community participation and site management mechanisms. The intervention aims to improve living conditions, reduce risks, strengthen resilience, and ensure that the site meets minimum humanitarian standards, including the SPHERE standards, through coordinated and sustainable interventions.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_An_Naser_School_Site-10_43_51.xlsx&return_type=file
40161782805940524J,GZA5270,Hsan Selema School,https://app.zitemanager.org/#/sites/51029/submission-case-detail/40161782805940524J,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600123,Gaza - An Naser-Gaza,2026-06-30,30/06/26,ACTED,PRM,2026-06-17,17-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"The site is facing critical multi-sectoral challenges that significantly affect the safety, health, protection, and living conditions of displaced households. The assessment identified severe gaps in WASH services, including inadequate access to safe drinking water, insufficient water supply and distribution networks, poor sanitation facilities lacking privacy, damaged sewage infrastructure, open and unsafe soak pits, inadequate drainage, and ineffective solid waste management, all of which increase public health and environmental risks. Shelter conditions are characterized by overcrowding, poor-quality and weather-vulnerable shelters, lack of privacy, inadequate lighting and ventilation, limited site space, and insufficient protection measures. Environmental conditions are further compromised by waste accumulation, flooding, pest infestation, damaged infrastructure, and obstructed movement pathways. In addition, major safety and protection concerns include the absence of lighting, unsafe circulation routes, open sewage hazards, lack of fire preparedness, inadequate fencing and site boundaries, and increased risks for women, children, older persons, and persons with disabilities. The proposed Site Improvement Plan adopts an integrated multi-sectoral approach to strengthen WASH services, rehabilitate shelter and site infrastructure, improve drainage and wastewater management, mitigate environmental hazards, enhance safety and protection measures, and improve overall site organization and community resilience, ensuring safer, healthier, and more dignified living conditions in line with humanitarian and SPHERE standards.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan__-_Al_Hasan_Salama_school__Site-10_52_4.xlsx&return_type=file
40151782810523700U,KYS1933,Al faruq,https://app.zitemanager.org/#/sites/31926/submission-case-detail/40151782810523700U,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,0,1,0,0,1,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40161782812821841N,GZA4437,Al-Zaharna site,https://app.zitemanager.org/#/sites/42223/submission-case-detail/40161782812821841N,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-15,15-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Al-Zaharna Site, managed by Acted, identifies critical humanitarian needs affecting 38 families (approximately 181 individuals), driven by significant gaps in WASH services, inadequate shelter conditions, environmental hazards, and heightened protection risks. The site suffers from incomplete sanitation coverage, unreliable access to potable water, widespread pest infestation, and fragile shelters highly vulnerable to seasonal weather. In addition, 10 families are residing outside the site boundary under unsafe conditions, while a partially backfilled bombardment crater continues to pose serious physical and environmental risks and limits the availability of safe communal space.

The proposed intervention adopts an integrated emergency approach focused on completing WASH infrastructure, improving water access, implementing vector control measures, reinforcing and winterizing shelters, rehabilitating the central crater and site drainage, and strengthening protection through solar lighting, fire safety measures, basic fencing, and safer communal spaces. The intervention will be implemented over 15 days starting 10/06/2026 through direct implementation, local contractors, coordination with relevant authorities, and Cash-for-Work modalities, with the objective of reducing critical health, environmental, and protection risks while restoring minimum standards of safety, dignity, and living conditions for affected families.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Al-Zaharna_site-12_46_5.xlsx&return_type=file
40161782813059670T,GZA4123,Al-Aila Al-Muqaddasa School Shelter,https://app.zitemanager.org/#/sites/38244/submission-case-detail/40161782813059670T,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-25,25-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Al-Aila Al-Muqaddasa School Shelter, managed by Acted, identifies significant humanitarian needs affecting approximately 65 households (around 330 individuals) living in an overcrowded school-based shelter. Key challenges include severe congestion in classrooms and shared spaces, inadequate shelter conditions for families living in tents inside a fourth-floor hall, and pressure on essential WASH services due to reliance on a fragile water pumping system with high risk of disruption. Communal sanitation facilities are overstretched and require urgent rehabilitation, particularly to improve functionality and women’s privacy, while rubble and waste accumulation contribute to pest infestation and deteriorating environmental health and safety conditions.

The proposed intervention aims to improve living conditions through rehabilitation of sanitation facilities, installation of additional mobile toilets, support to water pumping continuity, shelter and privacy improvements, rubble removal, pest control, and regular cleaning campaigns. It also includes minor infrastructure repairs and reinforcement of damaged areas, alongside enhanced community engagement and safety measures. The intervention will be implemented over 15 days through direct implementation, contractors, and community-based activities, aiming to improve dignity, safety, and essential living conditions for displaced families.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-Al-Aila_Al-Muqaddasa_School_Shelter-12_50_49.xlsx&return_type=file
40151782813934656H,KYS1713,Al-Fedaa site,https://app.zitemanager.org/#/sites/31749/submission-case-detail/40151782813934656H,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-23,23-06-26,Community Participation and Representation,Community or Committee Meeting,,,8,0,0,0,8,0,8,0,,8,,,,,,,,,"Programming Specific Meetings (e.g. project inductions, cash for work, etc.)",,,program_specific_meeting,,,,,,,,,,,,,"An orientation session was conducted for the Site Committees to ensure a shared understanding of the beneficiary verification and selection process. During the session, the beneficiary eligibility criteria were presented and discussed in detail, followed by a review of the prioritization criteria used to identify the most vulnerable households. Committee members were also briefed on the exclusion criteria and the verification requirements to ensure a transparent, fair, and accountable selection process. Furthermore, the roles and responsibilities of the Site Committees throughout the verification process were clearly explained, emphasizing their role in facilitating the activity while maintaining impartiality and confidentiality. The session concluded with a briefing on ACTED's Code of Conduct, and accountability principles, highlighting the importance of ethical behavior, respect for affected populations, and adherence to humanitarian standards during all field activities.",,,,
40151782814039756N,KYS1715,Al-Quds,https://app.zitemanager.org/#/sites/31751/submission-case-detail/40151782814039756N,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-23,23-06-26,Community Participation and Representation,Community or Committee Meeting,,,6,4,0,0,10,1,6,4,,10,,,,,,,,,"Programming Specific Meetings (e.g. project inductions, cash for work, etc.)",,,program_specific_meeting,,,,,,,,,,,,,"An orientation session was conducted for the Site Committees to ensure a shared understanding of the beneficiary verification and selection process. During the session, the beneficiary eligibility criteria were presented and discussed in detail, followed by a review of the prioritization criteria used to identify the most vulnerable households. Committee members were also briefed on the exclusion criteria and the verification requirements to ensure a transparent, fair, and accountable selection process. Furthermore, the roles and responsibilities of the Site Committees throughout the verification process were clearly explained, emphasizing their role in facilitating the activity while maintaining impartiality and confidentiality. The session concluded with a briefing on ACTED's Code of Conduct, and accountability principles, highlighting the importance of ethical behavior, respect for affected populations, and adherence to humanitarian standards during all field activities.",,,,
40151782814130615E,KYS1933,Al faruq,https://app.zitemanager.org/#/sites/31926/submission-case-detail/40151782814130615E,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-23,23-06-26,Community Participation and Representation,Community or Committee Meeting,,,3,1,0,0,4,0,3,1,,4,,,,,,,,,"Programming Specific Meetings (e.g. project inductions, cash for work, etc.)",,,program_specific_meeting,,,,,,,,,,,,,"An orientation session was conducted for the Site Committees to ensure a shared understanding of the beneficiary verification and selection process. During the session, the beneficiary eligibility criteria were presented and discussed in detail, followed by a review of the prioritization criteria used to identify the most vulnerable households. Committee members were also briefed on the exclusion criteria and the verification requirements to ensure a transparent, fair, and accountable selection process. Furthermore, the roles and responsibilities of the Site Committees throughout the verification process were clearly explained, emphasizing their role in facilitating the activity while maintaining impartiality and confidentiality. The session concluded with a briefing on ACTED's Code of Conduct, and accountability principles, highlighting the importance of ethical behavior, respect for affected populations, and adherence to humanitarian standards during all field activities.",,,,
